"horas_do_dia","transacoes","classificador"
0.0,61.22,0
0.0,91.18,0
0.0,40.80,0
0.0,1.98,0
0.0,5.07,0
0.0,85.00,0
0.0,22.77,0
0.0,82.18,0
0.0,510.22,0
0.0,37.64,0
0.0,275.38,0
0.0,43.57,0
0.0,75.08,0
0.0,169.00,0
0.0,242.15,0
0.0,7.62,0
0.0,46.94,0
0.0,22.34,0
0.0,12.90,0
0.0,154.99,0
0.0,27.39,0
0.0,237.98,0
0.0,6.40,0
0.0,4.04,0
0.0,10.08,0
0.0,16.60,0
0.0,14.97,0
0.0,7712.43,0
0.0,10.02,0
0.0,17.02,0
0.0,23.95,0
0.0,16.66,0
0.0,5.55,0
0.0,26.62,0
0.0,143.62,0
0.0,33.00,0
0.0,96.96,0
0.0,174.50,0
0.0,10.86,0
0.0,17.56,0
0.0,3.19,0
0.0,28.58,0
0.0,6.10,0
0.0,102.81,0
0.0,19.98,0
0.0,333.84,0
0.0,42.56,0
0.0,770.97,0
0.0,148.59,0
0.0,198.83,0
0.0,14.30,0
0.0,32.07,0
0.0,7.03,0
0.0,27.50,0
0.0,9.75,0
0.0,27.70,0
0.0,19.60,0
0.0,18.00,0
0.0,261.80,0
0.0,89.46,0
0.0,279.90,0
0.0,17.99,0
0.0,149.62,0
0.0,12.00,0
0.0,633.49,0
0.0,57.19,0
0.0,93.82,0
0.0,91.69,0
0.0,7.99,0
0.0,171.32,0
0.0,131.37,0
0.0,250.58,0
0.0,11.40,0
0.0,64.04,0
0.0,4.65,0
0.0,10.77,0
0.0,77.72,0
0.0,8.92,0
0.0,35.79,0
0.0,91.78,0
0.0,120.97,0
0.0,13.99,0
0.0,22.58,0
0.0,25.28,0
0.0,7.50,0
0.0,0.01,0
0.0,140.04,0
0.0,291.38,0
0.0,176.94,0
0.0,334.96,0
0.0,35.90,0
0.0,1.83,0
0.0,80.50,0
0.0,14.50,0
0.0,89.99,0
0.0,126.71,0
0.0,42.81,0
0.0,36.29,0
0.0,84.99,0
0.0,10.81,0
0.0,16.80,0
0.0,26.00,0
0.0,35.11,0
0.0,129.61,0
0.0,9.59,0
0.0,2.30,0
0.0,9.00,0
0.0,33.99,0
0.0,427.25,0
0.0,4.99,0
0.0,213.87,0
0.0,4.69,0
0.0,9.09,0
0.0,153.00,0
0.0,8.96,0
0.0,8.93,0
0.0,45.95,0
0.0,7.72,0
0.0,57.48,0
0.0,55.97,0
0.0,89.58,0
0.0,41.00,0
0.0,5.48,0
0.0,575.33,0
0.0,55.45,0
0.0,44.50,0
0.0,35.93,0
0.0,13.81,0
0.0,9.90,0
0.0,12.84,0
0.0,17.68,0
0.0,15.93,0
0.0,34.48,0
0.0,15.10,0
0.0,132.80,0
0.0,82.50,0
0.0,12.36,0
0.0,183.29,0
0.0,132.00,0
0.0,14.41,0
0.0,86.97,0
0.0,20.43,0
0.0,18.16,0
0.0,48.00,0
0.0,20.50,0
0.0,20.17,0
0.0,418.48,0
0.0,22.74,0
0.0,80.00,0
0.0,37.57,0
0.0,75.17,0
0.0,26.48,0
0.0,84.00,0
0.0,3669.00,0
0.0,75.83,0
0.0,52.52,0
0.0,6.66,0
0.0,126.21,0
0.0,130.00,0
0.0,10.09,0
0.0,8.50,0
0.0,13.23,0
0.0,47.93,0
0.0,21.93,0
0.0,8.49,0
0.0,46.73,0
0.0,46.08,0
0.0,11.05,0
0.0,41.36,0
0.0,62.63,0
0.0,4.92,0
0.0,10.95,0
0.0,2.67,0
0.0,71.68,0
0.0,22.09,0
0.0,459.39,0
0.0,302.10,0
0.0,1.69,0
0.0,52.90,0
0.0,11.53,0
0.0,17.49,0
0.0,69.99,0
0.0,35.95,0
0.0,384.11,0
0.0,21.52,0
0.0,202.41,0
0.0,34.70,0
0.0,89.98,0
0.0,122.36,0
0.0,244.50,0
0.0,29.68,0
0.0,56.86,0
0.0,15.81,0
0.0,48.80,0
0.0,35.69,0
0.0,193.89,0
0.0,69.70,0
0.0,39.99,0
0.0,399.07,0
0.0,32.79,0
0.0,3.10,0
0.0,81.73,0
0.0,55.76,0
0.0,20.00,0
0.0,525.52,0
0.0,35.78,0
0.0,102.94,0
0.0,11.66,0
0.0,16.99,0
0.0,40.20,0
0.0,456.71,0
0.0,38.99,0
0.0,12.87,0
0.0,37.10,0
0.0,42.67,0
0.0,589.21,0
0.0,44.48,0
0.0,247.89,0
0.0,18.94,0
0.0,37.50,0
0.0,24.90,0
0.0,215.58,0
0.0,51.45,0
0.0,543.03,0
0.0,14.93,0
0.0,41.10,0
0.0,137.52,0
0.0,107.90,0
0.0,233.15,0
0.0,16.34,0
0.0,16.90,0
0.0,39.90,0
0.0,123.97,0
0.0,359.89,0
0.0,236.60,0
0.0,192.88,0
0.0,306.59,0
0.0,17.61,0
0.0,9.55,0
0.0,530.85,0
0.0,53.70,0
0.0,147.50,0
0.0,28.06,0
0.0,30.02,0
0.0,85.14,0
0.0,56.09,0
0.0,135.19,0
0.0,10.88,0
0.0,79.80,0
0.0,303.71,0
0.0,111.38,0
0.0,501.00,0
0.0,131.95,0
0.0,29.54,0
0.0,15.09,0
0.0,113.00,0
0.0,8.73,0
0.0,157.20,0
0.0,105.87,0
0.0,24.08,0
0.0,18.67,0
0.0,13.53,0
0.0,123.02,0
0.0,624.03,0
0.0,13.50,0
0.0,26.72,0
0.0,71.17,0
0.0,119.44,0
0.0,30.31,0
0.0,91.76,0
0.0,24.56,0
0.0,19.85,0
0.0,110.40,0
0.0,263.73,0
0.0,40.55,0
0.0,49.00,0
0.0,7.69,0
0.0,20.22,0
0.0,18.95,0
0.0,1602.99,0
0.0,10.35,0
0.0,2.46,0
0.0,11.95,0
0.0,47.90,0
0.0,142.50,0
0.0,2.69,0
0.0,9.95,0
0.0,18.45,0
0.0,73.00,0
0.0,91.64,0
0.0,46.99,0
0.0,15.00,0
0.0,239.40,0
0.0,14.98,0
0.0,34.27,0
0.0,44.43,0
0.0,14.80,0
0.0,37.89,0
0.0,367.20,0
0.0,40.10,0
0.0,11.20,0
0.0,87.68,0
0.0,14.39,0
0.0,7.42,0
0.0,1.17,0
0.0,60.16,0
0.0,44.10,0
0.0,5.26,0
0.0,42.90,0
0.0,2.72,0
0.0,49.98,0
0.0,12.94,0
0.0,13.31,0
0.0,19.30,0
0.0,13.56,0
0.0,14.27,0
0.0,1109.20,0
0.0,792.20,0
0.0,6.51,0
0.0,140.55,0
0.0,6.79,0
0.0,23.43,0
0.0,60.92,0
0.0,69.95,0
0.0,453.90,0
0.0,41.96,0
0.0,112.18,0
0.0,195.00,0
0.0,78.03,0
0.0,46.39,0
0.0,3.63,0
0.0,37.20,0
0.0,85.25,0
0.0,51.67,0
0.0,12.99,0
0.0,12.14,0
0.0,16.94,0
0.0,281.42,0
0.0,1043.56,0
0.0,75.65,0
0.0,169.05,0
0.0,838.20,0
0.0,36.61,0
0.0,34.90,0
0.0,10.59,0
0.0,13.80,0
0.0,16.19,0
0.0,7.79,0
0.0,41.71,0
0.0,17.92,0
0.0,95.35,0
0.0,17.24,0
0.0,85.06,0
0.0,66.21,0
0.0,102.90,0
0.0,31.98,0
0.0,36.04,0
0.0,40.83,0
0.0,3.68,0
0.0,119.00,0
0.0,51.50,0
0.0,30.08,0
0.0,6.03,0
0.0,38.09,0
0.0,26.57,0
0.0,6.47,0
0.0,80.95,0
0.0,18.46,0
0.0,2.97,0
0.0,38.49,0
0.0,9.98,0
0.0,1447.71,0
0.0,173.00,0
0.0,52.40,0
0.0,5.08,0
0.0,18.33,0
0.0,291.36,0
0.0,39.09,0
0.0,1.00,0
0.0,40.00,0
0.0,1528.90,0
0.0,16.50,0
0.0,58.85,0
0.0,45.98,0
0.0,396.59,0
0.0,470.88,0
0.0,7.53,0
0.0,4.50,0
0.0,32.75,0
0.0,13.20,0
0.0,70.85,0
0.0,16.83,0
0.0,23.67,0
0.0,6.55,0
0.0,3.05,0
0.0,18.42,0
0.0,19.99,0
0.0,317.25,0
0.0,89.95,0
0.0,29.18,0
0.0,2.44,0
0.0,16.45,0
0.0,67.36,0
0.0,16.18,0
0.0,17.77,0
0.0,137.00,0
0.0,13.66,0
0.0,10.97,0
0.0,257.30,0
0.0,6.99,0
0.0,9.51,0
0.0,224.97,0
0.0,510.15,0
0.0,15.79,0
0.0,2.85,0
0.0,82.37,0
0.0,26.43,0
0.0,79.90,0
0.0,17.45,0
0.0,99.82,0
0.0,67.94,0
0.0,67.46,0
0.0,2909.97,0
0.0,15.36,0
0.0,224.00,0
0.0,161.72,0
0.0,25.80,0
0.0,204.03,0
0.0,71.00,0
0.0,93.14,0
0.0,8.99,0
0.0,834.84,0
0.0,3.62,0
0.0,5.47,0
0.0,14.32,0
0.0,288.28,0
0.0,4.68,0
0.0,67.23,0
0.0,149.90,0
0.0,6.28,0
0.0,46.68,0
0.0,2.58,0
0.0,145.20,0
0.0,8.09,0
0.0,293.34,0
0.0,668.50,0
0.0,3.00,0
0.0,96.39,0
0.0,99.99,0
0.0,22.36,0
0.0,34.52,0
0.0,8.07,0
0.0,11.16,0
0.0,10.46,0
0.0,99.40,0
0.0,9.13,0
0.0,4.56,0
0.0,12.98,0
0.0,31.90,0
0.0,10.60,0
0.0,212.00,0
0.0,54.75,0
0.0,197.80,0
0.0,700.00,0
0.0,57.64,0
0.0,0.76,0
0.0,29.35,0
0.0,79.00,0
0.0,679.00,0
0.0,187.00,0
0.0,55.61,0
0.0,9.93,0
0.0,986.31,0
0.0,203.83,0
0.0,15.37,0
0.0,146.25,0
0.0,35.00,0
0.0,84.24,0
0.0,14.17,0
0.0,77.98,0
0.0,1.04,0
0.0,12.20,0
0.0,293.44,0
0.0,11.29,0
0.0,22.19,0
0.0,23.07,0
0.0,3.95,0
0.0,80.18,0
0.0,10.84,0
0.0,174.27,0
0.0,187.95,0
0.0,20.08,0
0.0,23.57,0
0.0,155.75,0
0.0,94.65,0
0.0,449.00,0
0.0,10.50,0
0.0,1.90,0
0.0,67.38,0
0.0,52.93,0
0.0,9.87,0
0.0,41.64,0
0.0,64.94,0
0.0,55.30,0
0.0,19.75,0
0.0,52.05,0
0.0,50.99,0
0.0,53.54,0
0.0,14.20,0
0.0,3.87,0
0.0,21.76,0
0.0,13.48,0
0.0,4.19,0
0.0,6.01,0
0.0,618.00,0
0.0,64.99,0
0.0,184.31,0
0.0,25.54,0
0.0,11.43,0
0.0,21.50,0
0.0,98.61,0
0.0,0.89,0
0.0,318.50,0
0.0,11.97,0
0.0,75.46,0
0.0,60.00,0
0.0,52.79,0
0.0,14.81,0
0.0,3.16,0
0.0,14.60,0
0.0,82.74,0
0.0,11.00,0
0.0,308.98,0
0.0,58.64,0
0.0,25.60,0
0.0,42.94,0
0.0,61.18,0
0.0,5.80,0
0.0,59.00,0
0.0,127.69,0
0.0,112.63,0
0.0,40.40,0
0.0,56.75,0
0.0,9.20,0
0.0,45.56,0
0.0,30.33,0
0.0,3.77,0
0.0,8.34,0
0.0,6.36,0
0.0,71.26,0
0.0,1939.30,0
0.0,57.50,0
0.0,13.67,0
0.0,17.74,0
0.0,5.91,0
0.0,467.74,0
0.0,947.94,0
0.0,17.15,0
0.0,39.77,0
0.0,37.98,0
0.0,6.57,0
0.0,19.54,0
0.0,12.42,0
0.0,221.79,0
0.0,6.85,0
0.0,6.52,0
0.0,62.57,0
0.0,1.19,0
0.0,86.61,0
0.0,1399.20,0
0.0,15.89,0
0.0,55.00,0
0.0,31.05,0
0.0,37.85,0
0.0,4.29,0
0.0,8.00,0
0.0,8.83,0
0.0,9.83,0
0.0,3.85,0
0.0,3.08,0
0.0,42.95,0
0.0,274.90,0
0.0,123.67,0
0.0,22.08,0
0.0,4.57,0
0.0,189.49,0
0.0,25.30,0
0.0,7.49,0
0.0,767.70,0
0.0,147.20,0
0.0,104.49,0
0.0,15.41,0
0.0,9.81,0
0.0,4.37,0
0.0,11.36,0
0.0,179.16,0
0.0,113.59,0
0.0,76.98,0
0.0,5.37,0
0.0,24.95,0
0.0,110.69,0
0.0,13.44,0
0.0,80.65,0
0.0,30.79,0
0.0,12.10,0
0.0,278.00,0
0.0,6.77,0
0.0,937.69,0
0.0,468.00,0
0.0,2.60,0
0.0,308.67,0
0.0,33.33,0
0.0,49.95,0
0.0,225.89,0
0.0,64.20,0
0.0,15.15,0
0.0,120.02,0
0.0,223.25,0
0.0,9.35,0
0.0,44.91,0
0.0,3.25,0
0.0,4.26,0
0.0,102.13,0
0.0,75.37,0
0.0,1321.12,0
0.0,34.09,0
0.0,19.38,0
0.0,26.59,0
0.0,144.14,0
0.0,30.83,0
0.0,22.83,0
0.0,12.15,0
0.0,144.38,0
0.0,120.96,0
0.0,642.45,0
0.0,216.00,0
0.0,104.83,0
0.0,4.52,0
0.0,7.04,0
0.0,11.46,0
0.0,150.00,0
0.0,355.05,0
0.0,92.91,0
0.0,41.75,0
0.0,4.79,0
0.0,28.90,0
0.0,13.08,0
0.0,177.00,0
0.0,99.93,0
0.0,18.31,0
0.0,1.18,0
0.0,37.13,0
0.0,5.00,0
0.0,1.49,0
0.0,8.82,0
0.0,2.34,0
0.0,85.79,0
0.0,3.44,0
0.0,156.20,0
0.0,6.45,0
0.0,8.84,0
0.0,240.90,0
0.0,135.51,0
0.0,17.85,0
0.0,10.98,0
0.0,126.81,0
0.0,919.60,0
0.0,38.00,0
0.0,91.87,0
0.0,6.49,0
0.0,24.57,0
0.0,13.74,0
0.0,27.99,0
0.0,62.34,0
0.0,32.63,0
0.0,29.97,0
0.0,86.07,0
0.0,13.84,0
0.0,12.79,0
0.0,118.98,0
0.0,4.49,0
0.0,37.40,0
0.0,128.00,0
0.0,7.00,0
0.0,2.35,0
0.0,59.90,0
0.0,1.78,0
0.0,285.96,0
0.0,88.40,0
0.0,20.02,0
0.0,8.38,0
0.0,23.63,0
0.0,145.56,0
0.0,126.85,0
0.0,168.00,0
0.0,23.41,0
0.0,22.30,0
0.0,67.30,0
0.0,21.80,0
0.0,6.24,0
0.0,2.23,0
0.0,22.17,0
0.0,0.38,0
0.0,3.56,0
0.0,324.55,0
0.0,16.31,0
0.0,38.20,0
0.0,37.92,0
0.0,74.47,0
0.0,456.00,0
0.0,64.31,0
0.0,4.00,0
0.0,54.90,0
0.0,5.42,0
0.0,9.12,0
0.0,38.19,0
0.0,107.69,0
0.0,84.95,0
0.0,79.60,0
0.0,53.81,0
0.0,124.40,0
0.0,11.84,0
0.0,27.13,0
0.0,185.82,0
0.0,15.08,0
0.0,4.45,0
0.0,380.95,0
0.0,0.74,0
0.0,16.38,0
0.0,3.99,0
0.0,14.95,0
0.0,12.33,0
0.0,8.36,0
0.0,41.08,0
0.0,760.00,0
0.0,10.62,0
0.0,539.17,0
0.0,83.90,0
0.0,192.17,0
0.0,69.64,0
0.0,10.12,0
0.0,174.88,0
0.0,1.61,0
0.0,2452.03,0
0.0,41.89,0
0.0,68.74,0
0.0,130.20,0
0.0,1376.13,0
0.0,5.45,0
0.0,206.77,0
0.0,124.85,0
0.0,17.96,0
0.0,73.66,0
0.0,86.43,0
0.0,15.98,0
0.0,6.30,0
0.0,156.98,0
0.0,77.63,0
0.0,97.47,0
0.0,12.86,0
0.0,10.82,0
0.0,668.04,0
0.0,20.53,0
0.0,9.97,0
0.0,96.00,0
0.0,70.00,0
0.0,36.71,0
0.0,186.14,0
0.0,44.60,0
0.0,79.54,0
0.0,11.99,0
0.0,3.80,0
0.0,41.47,0
0.0,44.40,0
0.0,129.90,0
0.0,121.49,0
0.0,48.59,0
0.0,94.50,0
0.0,5.46,0
0.0,41.40,0
0.0,9.57,0
0.0,0.92,0
0.0,479.08,0
0.0,171.25,0
0.0,12.41,0
0.0,78.44,0
0.0,40.29,0
0.0,1068.62,0
0.0,17.00,0
0.0,3.27,0
0.0,19.95,0
0.0,218.59,0
0.0,12.85,0
0.0,115.00,0
0.0,12.26,0
0.0,65.26,0
0.0,56.00,0
0.0,14.99,0
0.0,396.28,0
0.0,44.00,0
0.0,15.13,0
0.0,3.82,0
0.0,135.00,0
0.0,52.00,0
0.0,227.39,0
0.0,15.55,0
0.0,10.20,0
0.0,2.78,0
0.0,18.96,0
0.0,50.03,0
0.0,16.00,0
0.0,10.70,0
0.0,52.39,0
0.0,25.41,0
0.0,74.64,0
0.0,53.05,0
0.0,18.20,0
0.0,74.00,0
0.0,24.65,0
0.0,0.85,0
0.0,28.28,0
0.0,75.13,0
0.0,3.81,0
0.0,309.90,0
0.0,3.75,0
0.0,41.69,0
0.0,84.06,0
0.0,8.91,0
0.0,1.99,0
0.0,49.59,0
0.0,43.71,0
0.0,142.71,0
0.0,9.44,0
0.0,64.61,0
0.0,31.24,0
0.0,8.22,0
0.0,220.28,0
0.0,24.38,0
0.0,186.96,0
0.0,38.70,0
0.0,35.70,0
0.0,224.99,0
0.0,56.28,0
0.0,16.15,0
0.0,107.26,0
0.0,268.78,0
0.0,5.71,0
0.0,32.52,0
0.0,92.39,0
0.0,5.99,0
0.0,67.20,0
0.0,19.77,0
0.0,13.98,0
0.0,349.26,0
0.0,33.45,0
0.0,7.81,0
0.0,104.00,0
0.0,135.98,0
0.0,36.85,0
0.0,189.80,0
0.0,162.61,0
0.0,113.31,0
0.0,12.89,0
0.0,34.13,0
0.0,112.38,0
0.0,104.94,0
0.0,27.00,0
0.0,39.98,0
0.0,44.99,0
0.0,200.24,0
0.0,166.74,0
0.0,21.87,0
0.0,18.72,0
0.0,4.58,0
0.0,37.99,0
0.0,15.25,0
0.0,30.89,0
0.0,81.75,0
0.0,10.38,0
0.0,9.99,0
0.0,59.95,0
0.0,106.00,0
0.0,43.84,0
0.0,3.37,0
0.0,19.64,0
0.0,200.01,0
0.0,230.00,0
0.0,139.95,0
0.0,24.99,0
0.0,31.80,0
0.0,32.99,0
0.0,178.75,0
0.0,17.88,0
0.0,156.04,0
0.0,19.36,0
0.0,500.51,0
0.0,64.00,0
0.0,87.75,0
0.0,980.00,0
0.0,12.31,0
0.0,24.26,0
0.0,113.02,0
0.0,23.88,0
0.0,6.67,0
0.0,60.20,0
0.0,10.47,0
0.0,5.98,0
0.0,22.00,0
0.0,124.14,0
0.0,406.82,0
0.0,1.70,0
0.0,84.39,0
0.0,11.28,0
0.0,18.78,0
0.0,4.38,0
0.0,16.98,0
0.0,93.00,0
0.0,134.98,0
0.0,17.13,0
0.0,189.25,0
0.0,19.51,0
0.0,21.55,0
0.0,9.72,0
0.0,7.14,0
0.0,0.82,0
0.0,288.45,0
0.0,39.94,0
0.0,109.85,0
0.0,19.22,0
0.0,46.80,0
0.0,1.55,0
0.0,196.70,0
0.0,46.40,0
0.0,30.00,0
0.0,7.91,0
0.0,9.79,0
0.0,518.08,0
0.0,276.93,0
0.0,17.28,0
0.0,779.72,0
0.0,7.89,0
0.0,0.77,0
0.0,117.28,0
0.0,21.03,0
0.0,7.82,0
0.0,732.00,0
0.0,12.48,0
0.0,186.68,0
0.0,58.57,0
0.0,1.46,0
0.0,8.28,0
0.0,76.48,0
0.0,58.90,0
0.0,11.98,0
0.0,28.44,0
0.0,45.30,0
0.0,68.70,0
0.0,399.00,0
0.0,168.56,0
0.0,13.27,0
0.0,30.49,0
0.0,153.76,0
0.0,82.62,0
0.0,18.40,0
0.0,19.55,0
0.0,2.17,0
0.0,422.00,0
0.0,179.84,0
0.0,29.00,0
0.0,170.18,0
0.0,83.48,0
0.0,48.94,0
0.0,461.45,0
0.0,129.00,0
0.0,8.58,0
0.0,2.89,0
0.0,188.00,0
0.0,143.80,0
0.0,6.39,0
0.0,19.90,0
0.0,85.11,0
0.0,5.30,0
0.0,89.40,0
0.0,112.50,0
0.0,102.00,0
0.0,65.30,0
0.0,9.03,0
0.0,312.39,0
0.0,83.00,0
0.0,50.95,0
0.0,11.22,0
0.0,29.95,0
0.0,450.00,0
0.0,2.25,0
0.0,3.45,0
0.0,148.49,0
0.0,61.07,0
0.0,104.48,0
0.0,29.56,0
0.0,20.70,0
0.0,110.75,0
0.0,63.30,0
0.0,64.36,0
0.0,106.77,0
0.0,91.80,0
0.0,3.50,0
0.0,35.99,0
0.0,70.71,0
0.0,62.70,0
0.0,214.16,0
0.0,21.99,0
0.0,5.28,0
0.0,88.88,0
0.0,239.02,0
0.0,3.59,0
0.0,57.70,0
0.0,145.75,0
0.0,5.97,0
0.0,20.74,0
0.0,92.82,0
0.0,1736.00,0
0.0,11.83,0
0.0,25.02,0
0.0,18.57,0
0.0,1.44,0
0.0,84.68,0
0.0,888.62,0
0.0,63.90,0
0.0,11.03,0
0.0,156.73,0
0.0,1.08,0
0.0,10.99,0
0.0,81.70,0
0.0,136.89,0
0.0,19.00,0
0.0,15.90,0
0.0,32.98,0
0.0,14.05,0
0.0,5.49,0
0.0,82.29,0
0.0,114.34,0
0.0,134.12,0
0.0,14.22,0
0.0,57.30,0
0.0,25.00,0
0.0,246.96,0
0.0,274.72,0
0.0,11.35,0
0.0,49.90,0
0.0,5.90,0
0.0,10.69,0
0.0,23.84,0
0.0,32.50,0
0.0,220.00,0
0.0,1.79,0
0.0,7.74,0
0.0,82.39,0
0.0,6.07,0
0.0,30.50,0
0.0,95.95,0
0.0,7.95,0
0.0,204.00,0
0.0,123.50,0
0.0,308.27,0
0.0,98.59,0
0.0,21.34,0
0.0,151.67,0
0.0,32.97,0
0.0,17.39,0
0.0,53.75,0
0.0,491.98,0
0.0,8.61,0
0.0,352.89,0
0.0,42.99,0
0.0,0.68,0
0.0,4.91,0
0.0,1.06,0
0.0,19.71,0
0.0,178.30,0
0.0,4.63,0
0.0,11.37,0
0.0,354.85,0
0.0,611.76,0
0.0,1480.00,0
0.0,7.32,0
0.0,4.88,0
0.0,45.38,0
0.0,11.64,0
0.0,10.91,0
0.0,49.57,0
0.0,50.20,0
0.0,47.31,0
0.0,1.29,0
0.0,13.94,0
0.0,35.97,0
0.0,10.00,0
0.0,28.52,0
0.0,127.75,0
0.0,196.46,0
0.0,29.50,0
0.0,21.97,0
0.0,190.00,0
0.0,18.99,0
0.0,37.69,0
0.0,18.29,0
0.0,42.00,0
0.0,493.44,0
0.0,286.58,0
0.0,19.05,0
0.0,87.47,0
0.0,526.96,0
0.0,26.21,0
0.0,25.98,0
0.0,2.15,0
0.0,23.27,0
0.0,107.94,0
0.0,50.74,0
0.0,25.85,0
0.0,151.04,0
0.0,47.83,0
0.0,79.95,0
0.0,54.99,0
0.0,250.81,0
0.0,88.29,0
0.0,4.42,0
0.0,3.03,0
0.0,13.49,0
0.0,11.72,0
0.0,15.99,0
0.0,232.20,0
0.0,4.80,0
0.0,28.98,0
0.0,2.27,0
0.0,222.50,0
0.0,11.39,0
0.0,0.88,0
0.0,38.44,0
0.0,1.50,0
0.0,339.96,0
0.0,14.90,0
0.0,39.95,0
0.0,43.54,0
0.0,17.57,0
0.0,35.64,0
0.0,21.79,0
0.0,45.71,0
0.0,0.75,0
0.0,38.84,0
0.0,45.00,0
0.0,100.07,0
0.0,1402.95,0
0.0,153.91,0
0.0,2.28,0
0.0,58.00,0
0.0,4.77,0
0.0,155.98,0
0.0,29.57,0
0.0,6.00,0
0.0,3828.04,0
0.0,99.00,0
0.0,9.73,0
0.0,27.83,0
0.0,1.85,0
0.0,34.00,0
0.0,431.00,0
